Input name,Scheme,Slots,Intitial Penalty, Final Penalty, Total Time (sec.), Total Kempe Chains Discovered
car-s-91,Largest degree first and stochastic hill climbing,35,11.955,8.09719,0.15687,167,
car-s-91,Largest degree first and take minimum penalty out of all possible kempe and then a random move,35,11.955,9.18002,4.24855,7677,
car-s-91,Dsatur and stochastic hill climbing,31,12.6945,9.23703,0.706613,160,
car-s-91,Dsatur and take minimum penalty out of all possible kempe and then a random move,31,12.6945,9.62383,4.5504,5571,

