Input name,Scheme,Slots,Intitial Penalty, Final Penalty, Total Time (sec.), Total Kempe Chains Discovered
yor-f-83,Largest degree first and stochastic hill climbing,23,65.6472,35.474,32.0934,199897,
yor-f-83,Largest degree first and take minimum penalty out of all possible kempe and then a random move,23,65.6472,36.2635,20.4888,157964,
yor-f-83,Dsatur and stochastic hill climbing,20,61.6493,45.1892,39.7442,199936,
yor-f-83,Dsatur and take minimum penalty out of all possible kempe and then a random move,20,61.6493,44.7365,20.0642,108233,

